tempo;nivel;pwm
10;3.08;255.00
10;3.09;255.00
10;3.20;255.00
10;3.09;255.00
10;3.09;255.00
10;3.13;255.00
10;3.08;255.00
10;3.09;255.00
10;3.08;255.00
10;3.20;255.00
10;3.08;255.00
10;3.08;255.00
10;3.18;255.00
10;2.80;255.00
10;2.80;255.00
10;0.57;255.00
10;0.47;255.00
10;2.80;255.00
10;2.03;255.00
11;2.79;255.00
11;1.93;255.00
11;2.80;255.00
11;2.80;255.00
11;2.80;255.00
11;2.91;255.00
11;2.79;255.00
11;2.79;255.00
11;2.91;255.00
11;2.80;255.00
11;2.79;255.00
11;2.91;255.00
11;1.34;255.00
11;2.51;255.00
11;2.61;255.00
11;2.20;255.00
11;2.22;255.00
11;3.20;255.00
12;2.51;255.00
12;3.08;255.00
12;3.20;255.00
12;3.09;255.00
12;3.09;255.00
12;2.79;255.00
12;3.09;255.00
12;3.09;255.00
12;1.34;255.00
12;2.80;255.00
12;2.79;255.00
12;2.80;255.00
12;2.91;255.00
12;2.80;255.00
12;2.80;255.00
12;2.91;255.00
12;2.80;255.00
12;2.80;255.00
13;3.83;255.00
13;3.73;255.00
13;2.51;255.00
13;2.51;255.00
13;3.40;255.00
13;3.40;255.00
13;3.40;255.00
13;3.51;255.00
13;3.40;255.00
13;3.40;255.00
13;3.09;255.00
13;3.09;255.00
13;3.08;255.00
13;3.09;255.00
13;3.18;255.00
13;3.09;255.00
13;3.08;255.00
13;4.36;255.00
13;3.18;255.00
14;4.04;255.00
14;4.04;255.00
14;4.05;255.00
14;4.04;255.00
14;4.05;255.00
14;3.73;255.00
14;3.73;255.00
14;3.73;255.00
14;3.73;255.00
14;4.05;255.00
14;3.73;255.00
14;3.73;255.00
14;3.73;255.00
14;3.73;255.00
14;3.83;255.00
14;3.71;255.00
14;2.51;255.00
14;2.51;255.00
15;3.40;255.00
15;3.40;255.00
15;3.40;255.00
15;3.51;255.00
15;4.36;255.00
15;4.36;255.00
15;3.09;255.00
15;3.20;255.00
15;4.36;255.00
15;4.36;255.00
15;4.36;255.00
15;3.20;255.00
15;4.05;255.00
15;4.05;255.00
15;4.04;255.00
15;4.14;255.00
15;4.05;255.00
15;4.05;255.00
16;4.04;255.00
16;3.83;255.00
16;3.73;255.00
16;3.73;255.00
16;3.73;255.00
16;3.83;255.00
16;3.73;255.00
16;3.73;255.00
16;2.49;255.00
16;3.73;255.00
16;3.73;255.00
16;3.73;255.00
16;3.51;255.00
16;3.40;255.00
16;4.36;255.00
16;4.36;255.00
16;4.47;255.00
16;4.36;255.00
16;3.09;255.00
17;3.09;255.00
17;4.47;255.00
17;4.36;255.00
17;4.36;255.00
17;4.05;255.00
17;4.05;255.00
17;4.05;255.00
17;5.32;255.00
17;4.04;255.00
17;4.04;255.00
17;4.16;255.00
17;5.01;255.00
17;5.01;255.00
17;5.00;255.00
17;5.01;255.00
17;5.12;255.00
17;4.69;255.00
17;4.69;255.00
18;4.69;255.00
18;4.69;255.00
18;4.81;255.00
18;4.69;255.00
18;4.69;255.00
18;4.67;255.00
18;4.69;255.00
18;4.36;255.00
18;4.36;255.00
18;4.36;255.00
18;4.36;255.00
18;4.47;255.00
18;4.36;255.00
18;4.36;255.00
18;4.36;255.00
18;5.32;255.00
18;5.32;255.00
18;5.32;255.00
19;5.32;255.00
19;5.32;255.00
19;5.32;255.00
19;5.32;255.00
19;5.01;255.00
19;5.01;255.00
19;5.00;255.00
19;5.01;255.00
19;5.00;255.00
19;5.10;255.00
19;5.01;255.00
19;5.01;255.00
19;5.01;255.00
19;4.69;255.00
19;4.79;255.00
19;4.69;255.00
19;4.69;255.00
19;4.69;255.00
19;4.69;255.00
20;4.79;255.00
20;4.69;255.00
20;4.69;255.00
20;4.69;255.00
20;4.69;255.00
20;5.75;255.00
20;5.65;255.00
20;5.65;255.00
20;4.36;255.00
20;5.34;255.00
20;5.32;255.00
20;5.34;255.00
20;5.34;255.00
20;5.34;255.00
20;5.32;255.00
20;5.32;255.00
20;5.32;255.00
20;5.32;255.00
21;5.34;255.00
21;5.01;255.00
21;5.01;255.00
21;5.01;255.00
21;5.12;255.00
21;5.01;255.00
21;5.98;255.00
21;5.98;255.00
21;4.69;255.00
21;4.69;255.00
21;4.69;255.00
21;4.69;255.00
21;4.69;255.00
21;5.65;255.00
21;5.65;255.00
21;5.65;255.00
21;5.65;255.00
21;5.65;255.00
21;5.65;255.00
22;5.65;255.00
22;5.65;255.00
22;5.32;255.00
22;5.34;255.00
22;5.34;255.00
22;5.32;255.00
22;5.34;255.00
22;5.32;255.00
22;5.32;255.00
22;6.30;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;5.12;255.00
22;5.00;255.00
22;5.01;255.00
22;5.00;255.00
23;5.01;255.00
23;5.98;255.00
23;4.76;255.00
23;4.69;255.00
23;5.96;255.00
23;5.98;255.00
23;4.69;255.00
23;5.65;255.00
23;5.65;255.00
23;5.65;255.00
23;5.65;255.00
23;5.65;255.00
23;5.65;255.00
23;5.65;255.00
23;4.48;255.00
23;5.65;255.00
23;5.34;255.00
23;5.34;255.00
24;6.61;255.00
24;6.61;255.00
24;6.28;255.00
24;6.28;255.00
24;6.28;255.00
24;6.30;255.00
24;6.30;255.00
24;6.30;255.00
24;5.01;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;6.94;255.00
24;6.94;255.00
25;6.94;255.00
25;6.94;255.00
25;6.94;255.00
25;6.94;255.00
25;6.94;255.00
25;6.61;255.00
25;6.61;255.00
25;6.61;255.00
25;6.63;255.00
25;6.61;255.00
25;6.61;255.00
25;6.61;255.00
25;6.61;255.00
25;6.28;255.00
25;6.30;255.00
25;6.28;255.00
25;6.28;255.00
25;6.28;255.00
26;6.30;255.00
26;5.98;255.00
26;5.98;255.00
26;5.98;255.00
26;5.98;255.00
26;5.98;255.00
26;3.73;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.94;255.00
26;6.61;255.00
26;6.61;255.00
27;6.61;255.00
27;6.61;255.00
27;6.61;255.00
27;6.28;255.00
27;6.28;255.00
27;6.28;255.00
27;6.30;255.00
27;6.28;255.00
27;6.30;255.00
27;6.28;255.00
27;6.28;255.00
27;6.28;255.00
27;5.96;255.00
27;7.24;255.00
27;7.24;255.00
27;7.26;255.00
27;7.24;255.00
27;7.26;255.00
27;7.24;255.00
28;7.26;255.00
28;7.24;255.00
28;6.94;255.00
28;6.94;255.00
28;6.94;255.00
28;6.94;255.00
28;6.94;255.00
28;6.94;255.00
28;7.90;255.00
28;7.90;255.00
28;7.90;255.00
28;7.90;255.00
